Topic,Count,Name,Representation,Representative_Docs
-1,8043,-1_ukraine_deutschland_russland_krieg,"['ukraine', 'deutschland', 'russland', 'krieg', 'euro', 'bundesregierung', 'grünen', 'europa', 'spd', 'länder']","[' EU-Kommissionspräsidentin von der Leyen hat an die Mitgliedstaaten appelliert, schnell Waffen an die Ukraine zu liefern. Der Bild am Sonntag sagte sie, nur so habe das Land eine Chance, die Angriffe Russlands abzuwehren. Sie unterscheide dabei nicht zwischen schweren und leichten Waffen, so von der Leyen. Die Ukraine müsse das bekommen, was sie zur Verteidigung brauche. Der ukrainische Präsident Zelenskyy hatte wiederholt vor allem die Lieferung schwerer Waffen gefordert. Ungeachtet internationaler Sanktionen soll Nordkorea eine neuartige Lenkwaffe für den Einsatz von taktischen Atomwaffen getestet haben. Nach Angaben der Staatsmedien habe Machthaber Kim Jong-un befohlen, die Verteidigungsfähigkeit und die Nuklearstreitmacht auszubauen. Weitere Details wurden nicht bekannt gegeben. Das südkoreanische Militär bestätigte den Abschuss zweier Flugkörper in Richtung offenes Meer. In der Fußball-Bundesliga hat Union Berlin einen wichtigen Sieg im Kampf um die internationalen Wettbewerbe erzielt. Berlin besiegte Eintracht Frankfurt mit 2 zu 0. Das Spiel Hoffenheim gegen Greuther Fürth blieb torlos. Zuvor hatte Bayern München gegen Bielefeld mit 3 zu 0 gewonnen.', ' Das klingt erstmal nach einem kleinen Fenster für Gespräche, um das Töten in der Ukraine zu stoppen. Aber es gibt einige Haken an dieser Sache. Erstens ist das erst nur möglich geworden durch ein Angebot von Ukraines Präsident Zelensky, Verhandlungen über einen möglichen neutralen Status der Ukraine anzubieten. Selensky möchte aber eigentlich mit Russlands Präsident Putin direkt sprechen. Und die russische Seite bietet bisher nur Gespräche von Delegationen verschiedener Ministerien an. Auf der anderen Seite und zusätzliches Problem ist der Ort, denn die russische Seite hat Minsk. vorgeschlagen. Das ist der Ort, wo früher schon über eine Lösung des Ost-Ukraine-Konflikts verhandelt wurde. Minsk hat sich aber verändert, denn die Hauptstadt von Belarus selber hat auch zugelassen, dass russische Truppen, russische Panzer sich von dem Land aus in die Ukraine in Bewegung gesetzt haben. Deswegen hat die ukrainische Seite wenig Interesse daran, dass man dort sich zu Gesprächen trifft. Als Alternativort wurde Warschau ins Spiel gebracht. Einigen konnte man sich bisher aber noch nicht. Und das an einem Tag, an dem der russische Präsident Putin hier in Moskau die ukrainische Regierung nicht nur als Neonazis, sondern auch als Drogenabhängige beschimpft.', ' Massives Bombardement in Gaza. Die israelischen Streitkräfte nehmen nach eigenen Angaben über 400 Ziele der Terrormiliz Hamas im ganzen Gazastreifen unter Beschuss. Auch im Süden, wo sich viele Geflüchtete aufhalten. Das Militär sendet zuvor Warnungen zur Evakuierung ganzer Stadtviertel auf palästinensische Smartphones. Auch die Hamas setzt seit gestern ihren Raketenbeschuss fort. Vor allem auf Israels Süden. Manche Geschosse erreichen aber auch das Zentrum des Landes. Israels Verhandlungsteam um Geheimdienstchef Barnea wurde heute aus Katar abgezogen. Katars Premierminister will trotzdem für eine neue Waffenruhe zwischen Israel und der Hamas weiter verhandeln. Ich bin optimistisch, dass wir nahe an einem Punkt sind, wo wir ein Abkommen erzielen können, sodass die Menschen wieder sicher nach Hause können, die israelischen Geiseln und wen auch immer die Hamas für sie frei bekommen will. Wegen der Kämpfe erreichen nach Angaben des Roten Halbmondes heute bislang 50 Lkw mit Hilfslieferungen die Menschen in Gaza. Es fehlt ihnen am nötigsten. Lebensmittel, Decken, Brenngas zum Kochen und vielen auch an einem Dach über dem Kopf. Unterdessen wurde bekannt, dass Israel für die Zeit nach dem Gaza-Krieg plant, eine sogenannte Pufferzone entlang der Gaza-Grenze zu etablieren. Wir wollen eine Sicherheitszone einrichten, die künftig besser verhindert, dass Terroristen von Gaza aus in unser Territorium eindringen und unsere Leute töten können. Der Plan einer Pufferzone ist ein Sicherheitsversprechen an die eigene Bevölkerung, eine Art undurchlässiger Sicherheitsstreifen. Man kann es auch als Signal nach außen verstehen, dass Israel offenbar nicht vorhat, den Gazastreifen dauerhaft zu besetzen, um ihn von innen zu kontrollieren.']"
0,883,0_regen_nacht_südwesten_schnee,"['regen', 'nacht', 'südwesten', 'schnee', 'trocken', 'sonnenschein', 'windig', 'mitte', 'alpen', 'nordosten']","[' In der Nordhälfte Deutschlands bleibt es unter Tiefdruckeinfluss wechselhaft. Weiter südlich sorgt steigender Luftdruck für freundliches Wetter. Im Südosten gibt es heute Nacht zunächst noch Regen, in der Nordhälfte einige Schauer und Gewitter, sonst meist trocken und teilweise klar. In der Südhälfte morgen oft sonnig, an den Alpen sind am Nachmittag ein paar Schauer möglich. Weiter nördlich gibt es neben etwas Sonne viele Wolken mit einigen kräftigen Schauern sowie einzelnen Gewittern. Heute Nacht im Süden oft um 10 Grad, sonst meist einstellige Werte. Im Norden morgen deutlich unter 20 Grad, im Südwesten dagegen sommerlich warm. Am Donnerstag viel Sonnenschein, im äußersten Süden später Schauer oder Gewitter, die am Freitag in schwüler Luft Unwetterpotenzial haben. Am Samstag im Norden oft sonnig, sonst teils Sonne, teils Wolken, aber es gibt nur noch einzelne Schauer oder Gewitter.', ' Ein kleines Hoch sorgt morgen von Südwesten her vorübergehend für freundliches Wetter. Der Regen im Norden und Osten zieht heute Nacht ab. Von Süden her breitet sich aber neuer, teilweise gewittriger Regen aus. Der zieht morgen ostwärts weiter. Vom Westen und Südwesten bis in die Mitte wird es recht freundlich mit längerem Sonnenschein. Im Nordwesten örtlich Schauer und Gewitter. Heute Nacht kühlt es ab auf 14 bis 8 Grad. Morgen werden Höchstwerte zwischen 14 und 22 Grad erreicht. Am Sonntag im Süden und Osten freundlich, im Westen und Nordwesten im Verlauf gebietsweise Regen. Am Montag Sonne, Wolken und einzelne Schauer, im Süden zum Teil kräftiger Regen. Dienstag im Norden und Osten wechselhaft, sonst meist trocken bei Sonne, Wolken und Nebel.', ' Neben sehr milder Luft erreicht uns morgen von Westen her ein neuer Tiefausläufer. Heute Nacht ziehen letzte Schauer im Nordosten ab, dann ist es verbreitet trocken und oft klar. Der Tag beginnt lokal neblig, sonst überwiegend freundlich. Später breiten sich über den Nordwesten und Westen bis zur Mitte zum Teil dichte Wolken aus, die gebietsweise Regen und einzelne Gewitter bringen. In der Nacht kühlt es ab auf 13 bis 14 Grad. Morgen wird es ungewöhnlich mild, meist um 20 im Südwesten bis zu 24 Grad. Am Montag im Süden länger anhaltender und zum Teil kräftiger Regen. Sonst gibt es nur einzelne Schauer oder Gewitter. Am Dienstag im Norden und Osten wechselhaft, sonst meist trocken bei Sonne, Wolken und Nebel. Mittwoch neben Wolken und vereinzelt etwas Regen, auch länger freundlich.']"
1,746,1_wünsche_ingo_miosga_abend,"['wünsche', 'ingo', 'miosga', 'abend', 'karin', 'fuest', 'fragen', '21', 'alina', 'karim']","[' Um 22.15 Uhr hat Ingo Zamperoni diese Tagesthemen für Sie. Online-Unterricht aus Kiew, wie ukrainische Kinder in Deutschland lernen. Und Ungarn vor der Wahl, warum Orban diesmal die Opposition fürchten muss. Ich wünsche Ihnen einen schönen Abend.', 'In den Tagesthemen um 22.45 Uhr mit Helge Fuest geht es darum, was eine weitere Amtszeit Putins für Russland bedeutet. Und wir fragen, wie deutlich Bundeskanzler Scholz bei seinem Besuch in Israel geworden ist. Ich wünsche Ihnen einen guten Abend.', ' Um 22.15 Uhr schauen die Tagesthemen mit Ingo Zamperoni in den Bundestag, wo es nach dem Treffen von Rechtsextremen um den Umgang mit der AfD ging. Und wir versuchen zu klären, was bringt eigentlich eine Tierwohlabgabe? Ich wünsche Ihnen einen schönen Abend.']"
2,464,2_mariupol_raketen_kharkiv_ukraine,"['mariupol', 'raketen', 'kharkiv', 'ukraine', 'russland', 'soldaten', 'odessa', 'getötet', 'donetsk', 'hafenstadt']","[' Aus der Ukraine wurden auch heute heftige Kämpfe gemeldet. Das ukrainische Militär teilte mit, es sei gelungen, russische Truppen rund um die Großstadt Kharkiv zurückzudrängen. Russland attackierte nach ukrainischen Angaben erneut Ziele im Süden des Landes, darunter die strategisch wichtige Hafenstadt Odessa. Auch das Azov-Stahlwerk in Mariupol wurde wieder beschossen. Auf dem Gelände halten sich weiter ukrainische Kämpfer verschanzt.', ' Dicke Rauchwolken über Lviv im Westen der Ukraine, etwa 80 Kilometer von der polnischen Grenze entfernt. Offenbar hat es mehrere Raketenangriffe gegeben. Es sollen Militärobjekte, aber auch andere Ziele getroffen worden sein. Offiziellen ukrainischen Angaben zufolge sind sieben Menschen getötet worden. Der Bürgermeister erhebt schwere Vorwürfe. Was wir heute hier in der Ukraine sehen, ist Völkermord, der gezielt von dem Aggressor begangen wird, der Zivilisten tötet. Sieben friedliche Menschen hatten Pläne für ihr Leben. Heute ist ihr Leben gestoppt worden. Die Region um Lviv war bislang weniger stark angegriffen worden und galt bisher als relativ sicher. Auch deshalb ist Lviv Zufluchtsort und Durchgangsstation für Flüchtlinge aus dem ganzen Land. Das russische Verteidigungsministerium behauptet, nur militärische Ziele angegriffen zu haben. In der Nacht sind mit den Hochpräzisionsraketen 16 ukrainische Militärstützpunkte, darunter fünf feindliche Kommandopunkte, ein Treibstoffdepot und drei Munitionslager sowie militärische Ausrüstung zerstört worden. Mariupol im Südosten des Landes. Die russische Regierung behauptet seit Tagen, die Stadt unter Kontrolle zu haben. Gekämpft werde nur noch auf dem Gelände des Azovstalwerkes. Hier Drohnenaufnahmen, verbreitet über russische Staatsmedien. Der ukrainische Präsident befürchtet weitere Zerstörungen. Genauso wie sie Mariupol zerstört haben, wollen die russischen Truppen auch andere Städte der Region in Donetsk und Luhansk auslöschen. Währenddessen hat das russische Staatsfernsehen diese Aufnahmen verbreitet. Sie sollen zwei festgenommene Briten zeigen, die für die Ukraine gekämpft haben sollen. Unter welchen Umständen diese Videos entstanden sind, ist unklar. Die Ukraine wiederum veröffentlicht Bilder des festgenommenen Putin-Freundes Medvedchuk, einem ukrainischen Politiker, der wegen Geheimnisverrats festgesetzt worden ist. Er bittet um einen Gefangenaustausch mit der Ukraine. In Mariupol wird das ganze Ausmaß der Zerstörung sichtbar. Nach Regierungsangaben soll es Anzeichen einer Offensive im Osten geben. Es werden verstärkt Angriffe auf die Region in Donetsk und Kharkiv gemeldet. Und aus Irpin nahe Kiew kommen diese Aufnahmen, veröffentlicht von einer Nachrichtenagentur. Dutzende frische Gräber. Wochenlang war der Ort unter russischer Belagerung. Ein Krieg, der viele Opfer fordert.', ' Es ist ein Abschied auf unbestimmte Zeit am Bahnhof von Saporizia. Der Ort liegt gut 200 Kilometer nordwestlich von Mariupol. Viele Einwohner der stark umkämpften Hafenstadt sind in den vergangenen Wochen hierher geflüchtet. Nun wollen sie weiter Richtung Westen. Aus Mariupol selbst kommen diese Bilder. Die russische Regierung behauptet, man habe die strategisch wichtige Stadt eingenommen. Gekämpft werde nur noch auf dem Areal des Azovstalwerkes. Den ukrainischen Soldaten hatte Russland bis heute Mittag ein Ultimatum gestellt. Ein Sprecher des Verteidigungsministeriums wiederholt seine Behauptung, die ukrainischen Truppen würden mit Nazi-Gruppen und ausländischen Söldnern zusammenarbeiten. Der in dem Stahlwerk umzingelten ukrainischen Gruppe wurde angeboten, freiwillig die Waffen niederzulegen und sich zu ergeben, um ihr Leben zu retten. Nach Angaben aus Moskau sollen sich in dem Werk noch etwa 2500 Kämpfer aufhalten. Nach ukrainischen Regierungsangaben haben sich die Soldaten in dem Stahlwerk nicht ergeben. Der Ministerpräsident erklärt von wenigen Stunden im US-Fernsehen. Nein, die Stadt ist nicht gefallen. Da sind weiterhin unsere Streitkräfte, unsere Soldaten. Sie werden bis zum Ende kämpfen. Sie sind weiter in Mariupol. Unabhängig überprüfen lassen sich die Informationen zu Mariupol nicht. Für die Zivilbevölkerung geht das Leid weiter. Sie sind abgeschnitten von allen Wasser-, Strom-, Lebensmitteln. Präsident Zelenskyy hatte noch gestern Abend Richtung Moskau erklärt, die Eliminierung unserer Truppen, unserer Männer in Mariupol, wird allen Verhandlungen ein Ende bereiten. Man kann einen Punkt auf jeden Format von Gesprächen setzen. Auch in anderen Gebieten in der Ukraine tobt der Krieg weiter. Aus Kharkiv, der zweitgrößten Stadt, gelegen im Osten, kommen diese Bilder. Nach ukrainischen Angaben sollen hier fünf Menschen getötet worden sein. Aus Angst vor russischen Angriffen leben sie in Sivjadonetsk, ebenfalls im Osten der Ukraine, in diesem Schutzkeller. Seit Wochen zusammengepfercht auf engstem Raum, so auch Tamara mit ihrem Enkel. Wir sind im März hierher gekommen. Da war es nachts und tagsüber sehr kalt und hier war es sehr feucht. Deshalb sind viele Menschen krank geworden. In Mariupol bleibt die Lage unübersichtlich. Die Stadt liegt zwischen den selbsternannten Volksrepubliken Donetsk und Luhansk und der von Russland annektierten Krim. Und auch deshalb ist sie für Russland so wichtig.']"
3,299,3_co2_emissionen_energien_klimaschutzgesetz,"['co2', 'emissionen', 'energien', 'klimaschutzgesetz', 'klimakonferenz', 'sheikh', '2030', 'staaten', 'globalen', 'industrie']","[' Der Ausstoß von klimaschädlichem CO2 muss runter. 2030 müssen es 65% weniger sein als 1990. So verlangt es das Klimaschutzgesetz. In allen CO2-relevanten Bereichen sind dafür Maßnahmen geplant. Ob die reichen? Laut Eckpunkten für das Klimaschutz-Sofortprogramm heißt es ja fast. Bei der Energieerzeugung im Gebäudesektor, in Industrie und Landwirtschaft sei das CO2-Ziel für 2030 erreichbar. Nur nicht im Verkehr. Der zuständige Minister müsse liefern, fordern die Grünen.', 'Guten Abend, ich begrüße Sie zur Tagesschau. Nach zehn Verhandlungen hat sich die Weltklimakonferenz in Ägypten am frühen Morgen auf eine Abschlusserklärung geeinigt. Die rund 200 Staaten verständigten sich in Sharm el-Sheikh auf einen Entschädigungsfonds für ärmere Staaten, die besonders vom Klimawandel betroffen sind. Kaum Bewegung gab es bei den Plänen zum Ausstieg aus fossilen Energieträgern. UN-Generalsekretär Guterres kritisierte, es sei nicht gelungen, die nötigen Schritte auf den Weg zu bringen, um die Erderwärmung einzudämmen.', ' Etwa 37 Milliarden Tonnen CO2 aus Kohle, Gas oder Öl. Dazu etwa 4 Milliarden Tonnen aus der Landnutzung, etwa durch Brandrodung von Tropenwäldern. Der Anstieg der jährlichen Emissionen verlangsamte sich zuletzt. Eine gute Nachricht. Und doch, auf der Weltklimakonferenz in Dubai sind sich viele Experten einig, um die Erderwärmung in den Griff zu kriegen, muss die Weltgemeinschaft fossilen Energien möglichst bald und entschieden ein Ende setzen. Staaten wie Deutschland unterstützen die Forderung. Andere, zum Beispiel einige arabische Staaten, aber sperren sich. Sie wollen, dass das Öl, das sie reich gemacht hat, noch lange sprudelt. Wir sollten uns nicht darauf fokussieren, eine bestimmte Energiequelle zu bekämpfen. Unser gemeinsamer Feind sollten nur die Emissionen sein. Die müssen wir reduzieren. Hightech-Lösungen, um Energiegewinnung aus fossilen Quellen klimafreundlicher zu machen, aber seien noch lange nicht effektiv genug, kritisieren Wissenschaftler wie etwa die Macher der aktuellen CO2-Studie. Und auch diese Demonstranten heute auf dem UN-Gelände in Dubai fordern ein echtes Ende von Öl, Gas und Kohle. Auf der Weltklimakonferenz wird weiter um Positionen gerungen.']"
4,252,4_prozess_festgenommen_reichsbürger_bundesanwaltschaft,"['prozess', 'festgenommen', 'reichsbürger', 'bundesanwaltschaft', 'mord', 'beschuldigten', 'verdächtigen', 'polizisten', 'verletzt', 'islamistischen']","['Guten Abend, meine Damen und Herren, ich begrüße Sie zur Tagesschau. Eine Extremistengruppe soll einen gewaltsamen Umsturz des politischen Systems in Deutschland geplant haben. Heute früh ging die Polizei in einer bundesweiten große Razzia gegen mutmaßliche Mitglieder und Unterstützer der sogenannten Reichsbürger vor. 25 Menschen wurden nach Angaben der Bundesanwaltschaft festgenommen. Ein Großteil von ihnen sei inzwischen in Untersuchungshaft. Sie stünden im Verdacht, eine terroristische Vereinigung gebildet zu haben, die mit Waffengewalt eine neue Regierung einsetzen wollte.', 'Guten Abend, meine Damen und Herren, ich begrüße Sie zur Tagesschau. Nach den tödlichen Schüssen auf zwei Polizisten in Rheinland-Pfalz befinden sich die beiden Tatverdächtigen in Untersuchungshaft. Gegen die Männer werde wegen des Verdachts auf gemeinschaftlichen Mord ermittelt, hieß es auf einer Pressekonferenz von Polizei und Staatsanwaltschaft. Eine Polizeianwärterin und ein junger Oberkommissar waren am frühen Montagmorgen bei einer Verkehrskontrolle erschossen worden. Die mutmaßlichen Täter wollten offenbar Wilderei vertuschen.', ' Zehn Monate nach dem Mord an zwei Polizisten bei Kusel in Rheinland-Pfalz ist in dem Prozess das Urteil gefallen. Der Hauptangeklagte erhielt eine lebenslange Haftstrafe. Außerdem wurde die besondere Schwere der Schuld festgestellt. Das Landgericht Kaiserslautern sah es als erwiesen an, dass der Angeklagte mit den Morden an einer 24-jährigen Polizeianwärterin und ihrem 29-jährigen Kollegen seine Wilderei vertuschen wollte.']"
5,211,5_silber_wm_geiger_weltcup,"['silber', 'wm', 'geiger', 'weltcup', 'platz', 'wellinger', 'friedrich', 'goldmedaille', 'team', 'deutsche']","[' Auch am letzten Tag der Winterspiele gab es noch Wettbewerbe. Dabei holten die deutschen Vierer-Bob-Fahrer Gold und Silber. Ebenfalls Silber ging ans Alpin-Team. Insgesamt landete Deutschland mit 12-mal Gold, 10-mal Silber und 5-mal Bronze im Medaillenspiegel auf Platz 2 hinter Norwegen. Gastgeber China wurde Dritter.', ' Weltmeisterin ist sie auch beim Jubeln. Laura Nollte gewinnt als erste deutsche WM-Gold im Monobob. Im schweizerischen St. Moritz bezwingt sie erstmals im Einzelschlitten die Olympiasiegerin Kayleigh Humphries aus den USA. Nollte erreicht in vier Läufen dreimal Bestzeit und gewinnt mit vier Zehntelsekunden Vorsprung. Lisa Buckwitz fährt bei ihrer ersten WM als Pilotin gleich zur Bronze. Der ewige Zweite Johannes Lochner hat es endlich geschafft. Nach viermal Silber erreicht er seinen lang ersehnten Weltmeistertitel im Zweierbob. Verholfen hat ihm dazu vor allem sein neuer Anschieber Georg Fleischauer. Der sonstige Gewinner Francesco Friedrich gratuliert voller Anerkennung. Der körperlich lidierte Olympiasieger gewinnt mit Alexander Schüller dieses Mal Silber.', ' Der olympische Eiskanal bleibt weiter fest in deutscher Hand. Hanna Neiße ist Neu-Olympiasiegerin im Skeleton. Die 21-Jährige vom BSC Winterberg hatte ihre Nerven in allen vier Läufen im Griff und holte Gold für das deutsche Team. Die Medaillenringe knapp verpasst hat Tina Herrmann. Sie wurde vierte. Gestern Geburtstag, heute Bronze. Karl Geiger hat sich das schönste Geschenk selbst gemacht. Auf der Großschanze gelang dem 29-Jährigen im zweiten Durchgang der Sprung aufs Treppchen. Nach dem ersten Durchgang lag der Oberstdorfer nur auf Rang 6. 138 Meter waren nötig, um Bronze zu holen. Gold gewann der Norweger Marius Lindwig vor dem Japaner Ryo Kobayashi, Rang 5, gegen den zweitbesten deutschen Markus Eisenbichler. Körperlich am Limit sorgte die 4x5 Kilometer Langlaufstaffel der Frauen für eine große Überraschung. Das Quartett um Katharina Sauerbrei, Viktoria Kahl, Katharina Hennig und Sophie Krehl holte sich verdient die Silbermedaille. Geschlagen wurden sie nur vom Team des russischen Olympischen Komitees, Bronze ging an Schweden.']"
6,180,6_lehrkräfte_kinder_kita_kultusministerkonferenz,"['lehrkräfte', 'kinder', 'kita', 'kultusministerkonferenz', 'erzieher', 'personal', 'mathe', 'halt', 'bundesweit', 'deutsch']","[' Handys im Matheunterricht, auch das gibt es in Estland. Mit einem interaktiven Spiel vertiefen diese Neunklässler, was sie zuvor gelernt haben. Wer die Grundrechenarten beherrscht, sagen sie hier, für den sind später auch lange Formeln kein Problem. Ich erinnere mich noch daran, dass wir das 1x1 richtig gebüffelt haben. Auch bei schweren Aufgaben kann ich jetzt dem Kopf überschlagen. Im Pisa-Vergleich schneidet das kleine baltische Land seit vielen Jahren kontinuierlich gut ab. Estlands Lehrpläne sind ambitioniert und sie setzen auf Gemeinschaftsschulen. Bis zur 9. Klasse lernen alle Kinder das Gleiche. Und im Unterricht gibt es Freiheiten. Es gibt ein Lernziel, Leistungen, die die Schüler erreichen müssen. Aber wie ich sie erreiche, wie die Schüler sie erreichen, das ist tatsächlich meine eigene Entscheidung. Ich habe zwar ein Lehrbuch und einen Plan, aber ich kann die Reihenfolge immer selbst bestimmen. Die Unterstützung der Eltern sei wichtig, sagen sie in Estland. Aber sie solle nicht allein über den Schulerfolg entscheiden. Wir haben einen einheitlichen Ansatz für alle Schulen. Deshalb hat der soziale und wirtschaftliche Hintergrund der Eltern einen deutlich kleineren Einfluss auf die Leistung der Kinder als in anderen Ländern. Starke Schulen, starke Schüler. Wieder einmal ist Estland Europameister im internationalen PISA-Vergleich.', ' Das Besondere an dieser Schule ist für mich die Offenheit der Lehrer und der Schüler. Ich finde, mittlerweile haben wir sehr viele junge und offene Lehrkräfte gekriegt.', ' Um das Lehren und Lernen und auch die Betreuung von Schülerinnen und Schülern in den Schulen weitgehend sicherstellen zu können, reden die Kultusminister und Kultusminister der Länder eine Überarbeitung der Quarantäneregelung an für die Schülerinnen und Schüler und für das an Schule tätige Personal.']"
7,175,7_atomkraftwerke_nachhaltig_atomausstieg_akw,"['atomkraftwerke', 'nachhaltig', 'atomausstieg', 'akw', 'westheim', 'fukushima', 'gas', 'kernkraft', 'stresstest', 'atomgesetz']","[' Der deutsche Sonderweg beim Atomausstieg wird im Ausland überwiegend mit Skepsis betrachtet. Auch bei der Internationalen Atomenergieorganisation in Wien. Es gibt in anderen Ländern einfach nicht diesen ideologischen Ballast, wie man ihn in Deutschland vorfindet. Die Entwicklung im Rest der Welt ist bei Atomkraft das genaue Gegenteil. Viele europäische Länder verlängern die Laufzeiten ihrer Atomkraftwerke oder bauen neu. In Finnland geht gerade ein neuer Reaktor ans Netz. Den Nutzen der Atomkraft in der Klimakrise halten auch die finnischen Grünen für größer als die Risiken. Industriegesellschaften brauchen Energie. Wenn wir da nicht auf Atomkraft zurückgreifen, dann sehen wir ja am Beispiel Deutschlands, dass viel mehr Treibhausgase ausgestoßen werden. Deutschland hat wegen der Stromengpässe zuletzt zusätzliche Kohlekraftwerke ans Netz genommen. Andere Länder wollen möglichst schnell aus der Kohleverstromung aussteigen. In Großbritannien werden gerade zwei neue Atomreaktoren gebaut. Polen steigt ein, plant bis zu sechs neue Atomkraftwerke. Das US-Energieministerium fördert neue Reaktortypen. Auch in Polen sind US-Unternehmen am Bau neuer Atomkraftwerke beteiligt. Die USA sind bereit zur Unterstützung anderer Länder, auch von Polen, das jetzt Atomkraft zu seinem Energiemix dazu nimmt. Wir wollen der langfristige Partner sein, den die Länder Osteuropas für den Aufbau neuer Technologien brauchen. Auch die Endlagerfrage sehen viele Länder weniger kritisch. In Finnland ist das Endlager fast fertig. Hier sollen ab 2025 die abgebrannten Brennstäbe 450 Meter tief unter der Erde eingelagert werden.', ' Heute im Studio Thorsten Schröder. Guten Abend, meine Damen und Herren, ich begrüße Sie zur Tagesschau. Übermorgen soll in Deutschland Schluss sein mit der Stromerzeugung durch Atomkraft. Die drei verbliebenen Atomkraftwerke Isar 2, Neckar-Westheim 2 und Emsland werden abgeschaltet. Für Bayerns Ministerpräsident Söder ein Fehler. Wegen der Energiekrise fordert er den Weiterbetrieb und bereits stillgelegte AKW als Reserve. Bei einem Besuch des bayerischen AKW Isar II bezeichnete Söder das baldige Abschalten der Meiler als Sünde.', ' Der Ausstieg aus der Kernenergie war vor mehr als zehn Jahren von der damaligen schwarz-gelben Regierung beschlossen worden und erfolgte schrittweise. Die drei letzten deutschen Atomkraftwerke am Netz, das AKW Emsland in Niedersachsen, Neckar-Westheim II in Baden-Württemberg und Isar II in Bayern, sollen Ende des Jahres abgeschaltet werden.']"
8,170,8_gestorben_geboren_stones_sänger,"['gestorben', 'geboren', 'stones', 'sänger', 'john', '70er', 'hollywood', 'wettervorhersage', 'romane', 'tatort']","[' Die Schauspielerin Angela Lansbury ist gestern in Los Angeles gestorben. Berühmt wurde sie durch die Hauptrolle in der TV-Serie Mord ist ihr Hobby. Lansbury stand 75 Jahre vor der Kamera und wurde für ihre Rollen in Film, Theater und Musical ausgezeichnet. 2013 erhielt sie einen Ehren-Oscar für ihr Lebenswerk. Am Sonntag wäre sie 97 geworden. Wir kommen zu den Lottozahlen. 16, 21, 26, 35, 48, 49, Superzahl 2. Diese Angaben sind wie immer ohne Gewehr. Weitere Gewinnzahlen finden Sie auf tageschau.de und im ARD-Text ab Tafel 580. Und nun die Wettervorhersage für morgen, Donnerstag, den 13. Oktober.', ' Meatloaf ist tot. Der US-Sänger und Schauspieler mit bürgerlichem Namen Marvin Lee Aday feierte in den 1970er Jahren seinen Durchbruch in der Rocky Horror Picture Show. Der Künstler verkaufte mehr als 100 Millionen Alben und wirkte in dutzenden Filmen mit. Nun ist der Texaner mit der gewaltigen Stimme im Alter von 74 Jahren gestorben.', ' Hollywood-Schauspieler Sidney Poitier ist tot. Er starb im Alter von 94 Jahren. Poitier war der erste schwarze Schauspieler, der einen Oscar als bester männlicher Hauptdarsteller gewann. Für seine Rolle in Lilien auf dem Felde von 1964. Zu seinen bekanntesten Filmen zählen außerdem Flucht in Ketten und In der Hitze der Nacht. 2002 bekam Sidney Poitier einen Ehren-Oscar für sein Lebenswerk.']"
